date,ticker,close,volume,daily_return,return_5d_forward,return_10d_forward,drawdown_5d_forward,volume_zscore,rolling_volatility_20d,ai_trend_score,sec_ai_density,trend_bucket,volume_bucket,volatility_bucket,recent_return_bucket,sec_ai_bucket,state
2022-01-28,AAPL,170.3300018310547,179935700,0.06977766942076213,0.012094155676913632,-0.009921930506890497,-0.004814227179026798,2.7474520403161784,0.02129389157916247,,,missing,high,high,high,nan,trend=missing|volume=high|volatility=high|recent_return=high|sec_ai=nan
2022-01-31,AAPL,174.77999877929688,115541600,0.026125737688043937,-0.017850984889451027,-0.033756688051786665,-0.02345809664807752,0.3791034270975635,0.02177931109309127,,,missing,high,high,high,nan,trend=missing|volume=high|volatility=high|recent_return=high|sec_ai=nan
2022-02-01,AAPL,174.61000061035156,86213900,-0.0009726408635577499,0.001259957734002004,-0.010423270819866493,-0.022507347350283036,-0.6766560435364751,0.021199465256956745,,,missing,low,high,medium,nan,trend=missing|volume=low|volatility=high|recent_return=medium|sec_ai=nan
2022-02-02,AAPL,175.83999633789062,84914300,0.007044245594408194,0.0025022887316303866,-0.01871015329078385,-0.029344880400213436,-0.6895508515137093,0.021128195737535705,,,missing,low,high,high,nan,trend=missing|volume=low|volatility=high|recent_return=high|sec_ai=nan
2022-02-03,AAPL,172.89999389648438,89418100,-0.016719759455390393,-0.004511271294571961,-0.023250371055991148,-0.012839799300584431,-0.5135067342021703,0.020604140235449653,,,missing,medium,high,low,nan,trend=missing|volume=medium|volatility=high|recent_return=low|sec_ai=nan
2022-02-04,AAPL,172.38999938964844,82465400,-0.0029496502304173777,-0.021753001991281273,-0.029526053459666413,-0.025233517715162912,-0.7303466836512628,0.020257850748883626,,,missing,low,high,medium,nan,trend=missing|volume=low|volatility=high|recent_return=medium|sec_ai=nan
2022-02-07,AAPL,171.66000366210938,77251200,-0.004234559603942367,-0.0161947962250365,-0.0427589198491366,-0.029709926568301404,-0.88888063695417,0.020282200775023296,,,missing,low,high,medium,nan,trend=missing|volume=low|volatility=high|recent_return=medium|sec_ai=nan
2022-02-08,AAPL,174.8300018310547,74829200,0.018466725511581794,-0.011668526703404236,-0.08442483756934993,-0.047303118376973874,-0.8979882354823192,0.020696578189594392,,,missing,low,high,high,nan,trend=missing|volume=low|volatility=high|recent_return=high|sec_ai=nan
2022-02-09,AAPL,176.27999877929688,71285000,0.008293753549481586,-0.021159494856867078,-0.07680958350291867,-0.055139558021398694,-1.004148895629354,0.020440409039958404,,,missing,low,high,high,nan,trend=missing|volume=low|volatility=high|recent_return=high|sec_ai=nan
2022-02-10,AAPL,172.1199951171875,90865900,-0.02359884099680365,-0.018824020022595644,-0.04223791087561979,-0.03230303111970367,-0.3653538673158401,0.02112923807620064,,,missing,medium,high,low,nan,trend=missing|volume=medium|volatility=high|recent_return=low|sec_ai=nan
2022-02-11,AAPL,168.63999938964844,98670700,-0.020218427993619836,-0.00794589861681938,-0.020872890685488255,-0.01452797057109434,-0.11799267988916899,0.0211849678407465,,,missing,medium,high,low,nan,trend=missing|volume=medium|volatility=high|recent_return=low|sec_ai=nan
2022-02-14,AAPL,168.8800048828125,86185500,0.0014231824835904128,-0.02700140589028277,-0.03363339513468,-0.0398508455219323,-0.5734227536719341,0.02114652781793808,,,missing,low,high,medium,nan,trend=missing|volume=low|volatility=high|recent_return=medium|sec_ai=nan
2022-02-15,AAPL,172.7899932861328,62527400,0.023152465006342826,-0.0736152928766558,-0.036055303950515594,-0.07546729436200128,-1.3047851695709507,0.021364692657742993,,,missing,low,high,high,nan,trend=missing|volume=low|volatility=high|recent_return=high|sec_ai=nan
2022-02-16,AAPL,172.5500030517578,61177400,-0.0013889128057177347,-0.056853070907516345,-0.036627106418091526,-0.11909592980762607,-1.2387495520724607,0.02073714747685288,,,missing,low,high,medium,nan,trend=missing|volume=low|volatility=high|recent_return=medium|sec_ai=nan
2022-02-17,AAPL,168.8800048828125,69589300,-0.021269186346200564,-0.023863090139613186,-0.03381102882978604,-0.09995265510873064,-0.9091762017910918,0.021219469469734766,,,missing,low,high,low,nan,trend=missing|volume=low|volatility=high|recent_return=low|sec_ai=nan
2022-02-18,AAPL,167.3000030517578,82772700,-0.009355766137921773,-0.013030531349696894,-0.047818289623850374,-0.09145249714684367,-0.43020951144808656,0.02111208714965424,,,missing,medium,high,low,nan,trend=missing|volume=medium|volatility=high|recent_return=low|sec_ai=nan
2022-02-22,AAPL,164.32000732421875,91162800,-0.017812287347162448,-0.00681603168241518,-0.0418695507311998,-0.07497569848515295,-0.05150497065595951,0.021518301784708472,,,missing,medium,high,low,nan,trend=missing|volume=medium|volatility=high|recent_return=low|sec_ai=nan
2022-02-23,AAPL,160.07000732421875,90009200,-0.02586416632525068,0.04054469880312839,0.017992062799060626,-0.05041548669310114,-0.04742948092426291,0.02219150156156603,,,missing,medium,high,low,nan,trend=missing|volume=medium|volatility=high|recent_return=low|sec_ai=nan
