strategy,day,value
Q-Learning,107,9669.414962768562
Q-Learning,108,9749.195846557624
Q-Learning,109,9682.006210327156
Q-Learning,110,9757.943862915046
Q-Learning,111,9651.911529541023
Q-Learning,112,9747.095550537117
Q-Learning,113,9712.900604248054
Q-Learning,114,9794.486907958992
Q-Learning,115,9696.704010009773
Q-Learning,116,9715.900787353523
Q-Learning,117,9939.66207885743
Q-Learning,118,10324.200042724617
Q-Learning,119,10366.792205810554
Q-Learning,120,10462.326568603523
Q-Learning,121,10413.354553222664
Q-Learning,122,10413.354553222664
Q-Learning,123,10393.374237060554
Q-Learning,124,10522.504440307623
Q-Learning,125,10524.724349975593
Q-Learning,126,10568.716964721687
Q-Learning,127,10712.692794799812
Q-Learning,128,10743.187866210945
Q-Learning,129,10858.561096191414
Q-Learning,130,10909.136306762703
Q-Learning,131,11080.126708984382
Q-Learning,132,11132.683868408212
Q-Learning,133,11132.68386840821
Q-Learning,134,11215.93386840821
Q-Learning,135,11333.223800659187
Q-Learning,136,11265.513732910164
Q-Learning,137,11295.853439331062
Q-Learning,138,11441.633529663091
Q-Learning,139,11412.40377807618
Q-Learning,140,11462.353439331062
Q-Learning,141,11396.49348449708
Q-Learning,142,11366.15377807618
Q-Learning,143,11195.22863769532
Q-Learning,144,11092.969390869148
Q-Learning,145,11311.147216796882
Q-Learning,146,11297.487884521493
Q-Learning,147,11349.910385131843
Q-Learning,148,11365.784545898445
Q-Learning,149,11546.676696777351
Q-Learning,150,11531.171768188484
Q-Learning,151,11617.556854248054
Q-Learning,152,11566.611846923835
Q-Learning,153,11591.15310668946
Q-Learning,154,11628.26638793946
Q-Learning,155,11414.448272705085
Q-Learning,156,11414.448272705085
Q-Learning,157,11250.618667602546
Q-Learning,158,11178.306838989265
Q-Learning,159,11426.346817016612
Q-Learning,160,11404.746963500986
Q-Learning,161,11476.825088500986
Q-Learning,162,11516.08184814454
Q-Learning,163,11605.362243652351
Q-Learning,164,11542.962097167978
Q-Learning,165,11394.792572021495
Q-Learning,166,11628.525573730478
Q-Learning,167,11893.742889404304
Q-Learning,168,11813.343109130867
Q-Learning,169,11878.857772827156
Q-Learning,170,12157.979171752937
Q-Learning,171,12146.494644165046
Q-Learning,172,12206.413619995124
Q-Learning,173,12227.884262084968
Q-Learning,174,12767.650955200206
Q-Learning,175,12745.181625366218
Q-Learning,176,12663.792007446296
Q-Learning,177,12758.663284301769
Q-Learning,178,12860.744796752937
Q-Learning,179,12777.637771606453
Q-Learning,180,12744.622604370128
Q-Learning,181,12685.942291259777
Q-Learning,182,12816.27134704591
